player_name,team,salary
JaVale McGee,DAL,5461219
Goga Bitadze,ORL/IND,5377520
Obi Toppin,NYK,5348280
Franz Wagner,ORL,5258280
Kendrick Nunn,LAL/WAS,5250000
Hamidou Diallo,DET,5200000
Cory Joseph,DET,5155500
Garrett Temple,NOP,5155500
Torrey Craig,PHO,5121951
Jeremy Sochan,SAS,5063520
Nickeil Alexander-Walker,MIN/UTA,5009633
Furkan Korkmaz,PHI,5000000
Deni Avdija,WAS,4916160
Davion Mitchell,SAC,4833600
Johnny Davis,WAS,4810320
Ty Jerome,GSW,4728948
Jalen Smith,IND,4670160
Ziaire Williams,MEM,4591680
Ousmane Dieng,OKC,4569840
Jeff Green,DEN,4500000
Donte DiVincenzo,GSW,4500000
Devin Vassell,SAS,4437000
Matisse Thybulle,PHI/POR,4379526
Jarred Vanderbilt,LAL/UTA,4374000
James Bouknight,CHO,4362240
Brandon Clarke,MEM,4343919
Jalen Williams,OKC,4341480
Grant Williams,BOS,4306281
Darius Bazley,OKC/PHO,4264628
Tyrese Haliburton,IND,4215120
Nassir Little,POR,4171548
Jalen Duren,DET,4124280
Gorgui Dieng,SAS,4105236
Justise Winslow,POR,4097561
Dylan Windler,CLE,4037277
Stanley Johnson,SAS,4022164
George Hill,MIL/IND,4000000
Terence Davis,SAC,4000000
Chris Duarte,IND,3936960
Alex Len,SAC,3918600
Ochai Agbaji,UTA,3918360
Jordan Poole,GSW,3901399
Keldon Johnson,SAS,3873024
James Johnson,IND,3841067
Aaron Nesmith,IND,3804360
Moses Moody,GSW,3740160
Mark Williams,CHO,3722040
Cole Anthony,ORL,3613680
Corey Kispert,WAS,3552840
AJ Griffin,ATL,3536160
Mike Muscala,BOS/OKC,3500000
Georges Niang,PHI,3465000
Isaiah Stewart,DET,3433320
Chuma Okeke,ORL,3433320
Amir Coffey,LAC,3395062
Tari Eason,HOU,3359160
Aleksej Pokusevski,OKC,3261480
Simone Fontecchio,UTA,3205128
Andre Drummond,CHI,3200000
Dalen Terry,CHI,3191400
Sterling Brown,LAL,3122602
Josh Green,DAL,3098400
Jake LaRavia,MEM,3047640
Tre Mann,OKC,3046200
Kevin Knox,DET/POR,3000000
Saddiq Bey,DET/ATL,2959080
Malaki Branham,SAS,2925600
Joe Wieskamp,TOR,2909261
Kai Jones,CHO,2909040
Blake Griffin,BOS,2905851
Robin Lopez,CLE,2905851
Markieff Morris,BRK/DAL,2905851
Andre Iguodala,GSW,2905851
Serge Ibaka,MIL,2905851
Udonis Haslem,MIA,2905851
Wesley Matthews,MIL,2905851
Austin Rivers,MIN,2905851
Bismack Biyombo,PHO,2905851
Taj Gibson,WAS,2905851
Precious Achiuwa,TOR,2840160
Christian Braun,DEN,2808600
Jordan Nwora,MIL/IND,2800000
Jalen Johnson,ATL,2792640
Tyrese Maxey,PHI,2726880
Bruno Fernando,HOU/ATL,2717391
Walker Kessler,UTA,2696400
Keon Johnson,POR,2681040
Charles Bassey,SAS,2674742
Matthew Dellavedova,SAC,2628597
Trey Lyles,SAC,2625000
Zeke Nnaji,DEN,2617800
David Roddy,MEM,2588640
Isaiah Jackson,IND,2573760
MarJon Beauchamp,MIL,2485200
Usman Garuba,HOU,2471160
Raul Neto,CLE,2463490
Frank Kaminsky,HOU/ATL,2463490
Montrezl Harrell,PHI,2463490
Blake Wesley,SAS,2385480
Josh Christopher,HOU,2372160
Isaiah Roby,SAS,2330681
Lindy Waters III,OKC,2316876
Immanuel Quickley,NYK,2316240
John Konchar,MEM,2300000
Rodney McGruder,DET,2298385
Bryn Forbes,MIN,2298385
Damian Jones,LAL/UTA,2298385
Quentin Grimes,NYK,2277000
Saben Lee,PHI/PHO,2266640
Andrew Nembhard,IND,2244111
Payton Pritchard,BOS,2239200
Bones Hyland,DEN/LAC,2201520
Bol Bol,ORL,2200000
Peyton Watson,DEN,2193960
Udoka Azubuike,UTA,2174880
Jaden McDaniels,MIN,2161440
Jordan McLaughlin,MIN,2160000
Malachi Flynn,TOR,2145720
Cam Thomas,BRK,2138160
Luke Kornet,BOS,2133278
Damion Lee,PHO,2133278
Juan Toscano-Anderson,LAL/UTA,2133278
Desmond Bane,MEM,2130240
Jaden Springer,PHI,2125200
Day'Ron Sharpe,BRK,2109480
Tony Bradley,CHI,2036318
Frank Ntilikina,DAL,2036318
Garrison Mathews,HOU/ATL,2000000
Jaylin Williams,OKC,2000000
Jeremiah Robinson-Earl,OKC,2000000
Kenrich Williams,OKC,2000000
Caleb Houstan,ORL,2000000
Shake Milton,PHI,1997718
Aaron Holiday,ATL,1968175
Yuta Watanabe,BRK,1968175
Edmond Sumner,BRK,1968175
Theo Pinson,DAL,1968175
Thomas Bryant,DEN/LAL,1968175
Josh Okogie,PHO,1968175
Drew Eubanks,POR,1968175
